steamidnumber;gametitle;releasemonth;releaseyear;releaseprice;lowestestimatedownersnumber;highestestimatedownersnumber;averageestimatedownersnumber;developer;publisher
253;OverlordII;June;2009;999,00 Ä;1000000;2000000;1500000;TriumphStudios;CodemastersElectronicArts
254;THELONGING;March;2020;1.499,00 Ä;200;500;350;StudioSeufz;ApplicationSystemsHeidelberg
255;DungeonsofDredmor;July;2011;499,00 Ä;200;500;350;GaslampGamesInc;GaslampGamesInc
256;CatQuest;August;2017;649,00 Ä;500;1000000;750;TheGentlebros;PQube
257;GothicIIGoldEdition;November;2005;999,00 Ä;500;1000000;750;PiranhaBytes;THQNordic
258;StateofDecay;November;2013;20,00 Ä;500;1000000;750;UndeadLabs;XboxGameStudios
259;ForTheKing;April;2018;1.999,00 Ä;1000000;2000000;1500000;IronOakGames;CurveGames
260;DARKSOULSIIScholaroftheFirstSin;April;2015;2.999,00 Ä;2000000;5000000;3500000;FromSoftwareInc;BandaiNamcoEntertainmentFromSoftwareInc
261;PAYDAY2;August;2013;499,00 Ä;20000000;50000000;35000000;OVERKILLaStarbreezeStudio;StarbreezePublishingAB
262;GuildWarsEyeoftheNorth;August;2007;1.999,00 Ä;20;20;20;ArenaNet;NCSOFT
263;DepthsofPeril;November;2010;999,00 Ä;50;100;75;SoldakEntertainment;SoldakEntertainment
264;MidnightProtocol;October;2021;1.499,00 Ä;20;50;35;LuGusStudios;IcebergInteractive
265;ObjectsinSpace;June;2018;2.499,00 Ä;50;100;75;FlatEarthGames;505Games
266;TheMetronomiconSlayTheDanceFloor;September;2016;1.999,00 Ä;20;50;35;Puuba;AkuparaGames
267;ElseHeartBreak;September;2015;2.499,00 Ä;200;500;350;erik;erik
268;HalfMinuteHeroTheSecondComing;April;2014;999,00 Ä;50;100;75;Opus;Marvelous
269;ZweiTheIlvardInsurrection;October;2017;1.999,00 Ä;20;20;20;NihonFalcom;XSEEDGamesMarvelousUSAInc
270;TalesofMonkeyIslandCompleteSeason;July;2009;1.499,00 Ä;200;500;350;Telltale;Telltale
271;TheChroniclesofNyanya;February;2018;199,00 Ä;20;20;20;hamstercube;NoGravityGames
272;DeathSpankThongsofVirtue;November;2010;1.499,00 Ä;50;100;75;HotheadGames;ElectronicArts
273;ShadowsofAdam;February;2017;1.499,00 Ä;20;50;35;SomethingClassicGamesLLC;SomethingClassicGamesLLC
274;HalfPastFate;March;2020;1.999,00 Ä;20;20;20;SerenityForge;WayDownDeep
275;Avernum2CrystalSouls;January;2015;1.999,00 Ä;50;100;75;SpiderwebSoftware;SpiderwebSoftware
276;EtherlordsII;February;2014;499,00 Ä;100;200;150;Nival;Nival
277;Summoner;March;2001;499,00 Ä;100;200;150;Volition;THQNordic
278;XanaduNext;November;2016;1.499,00 Ä;20;50;35;NihonFalcom;XSEEDGamesMarvelousUSAInc
279;DungelotShatteredLands;February;2016;999,00 Ä;50;100;75;RedWinterSoftware;tinyBuild
280;JoeDeversLoneWolfHDRemastered;November;2014;1.499,00 Ä;50;100;75;ForgeReplysrl;505Games
281;WerewolfTheApocalypseHeartoftheForest;October;2020;1.499,00 Ä;100;200;150;DifferentTales;WalkaboutDifferentTales
282;ShadowEmpire;December;2020;3.999,00 Ä;20;50;35;VRDesigns;SlitherineLtd
283;HardWest2;August;2022;2.999,00 Ä;50;100;75;IceCodeGames;GoodShepherdEntertainment
284;KingsBountyCrossworlds;September;2010;1.499,00 Ä;200;500;350;KatauriInteractive;FulqrumPublishing
285;Wytchwood;December;2021;1.999,00 Ä;100;200;150;Alientrap;WhitethornGamesWhisperGames
286;JupiterHell;August;2021;1.624,00 Ä;20;50;35;ChaosForge;Hyperstrange
287;SairentoVR;February;2018;2.999,00 Ä;100;200;150;MixedRealmsPteLtdSwagSoftHoldingsPteLtd;MixedRealmsPteLtd
288;TheAdventurePals;April;2018;1.499,00 Ä;200;500;350;MassiveMonster;ArmorGamesStudios
289;TheCountLucanor;March;2016;999,00 Ä;100;200;150;BaroqueDecay;NeonDoctrine
290;PlebbyQuestTheCrusades;April;2020;1.999,00 Ä;200;500;350;PiedPipersTeam;NEOWIZ
291;Indivisible;October;2019;3.999,00 Ä;100;200;150;LabZeroGames;505Games
292;Roguebook;June;2021;2.499,00 Ä;100;200;150;AbrakamEntertainmentSA;Nacon
293;Everything;April;2017;1.499,00 Ä;100;200;150;DavidOReilly;DavidOReillyPLAYISMJapan
294;Apotheon;February;2015;1.499,00 Ä;200;500;350;Alientrap;Alientrap
295;DungeonFighterOnline;August;2016;0,00 Ä;500;1000000;750;Neople;Neople
296;CthulhuSavestheWorld;July;2011;299,00 Ä;1000000;2000000;1500000;ZeboydGames;ZeboydGames
297;Crashlands;January;2016;1.499,00 Ä;100;200;150;ButterscotchShenanigans;ButterscotchShenanigans
298;Fallout4VR;December;2017;5.999,00 Ä;500;1000000;750;BethesdaGameStudios;BethesdaSoftworks
299;WuppoDefinitiveEdition;September;2016;1.499,00 Ä;100;200;150;Knuist&Perzik;SOEDESCO
300;IratusLordoftheDead;April;2020;2.999,00 Ä;200;500;350;Unfrozen;DaedalicEntertainment
301;BattleChasersNightwar;October;2017;749,00 Ä;200;500;350;AirshipSyndicate;THQNordic
302;BaldursGateIIEnhancedEdition;November;2013;1.999,00 Ä;50;100;75;Beamdog;Beamdog
303;PitPeople;March;2018;1.999,00 Ä;200;500;350;TheBehemoth;TheBehemoth
304;HandofFate;February;2015;1.999,00 Ä;500;1000000;750;DefiantDevelopment;DefiantDevelopment
305;SCARLETNEXUS;June;2021;1.799,00 Ä;500;1000000;750;BANDAINAMCOStudiosInc;BANDAINAMCOEntertainment
306;BaldursGateEnhancedEdition;January;2013;1.999,00 Ä;1000000;2000000;1500000;Beamdog;Beamdog
307;MutantYearZeroRoadtoEden;December;2018;3.499,00 Ä;500;1000000;750;TheBeardedLadies;Funcom
308;RemnantFromtheAshes;August;2019;1.599,00 Ä;2000000;5000000;3500000;GunfireGames;PerfectWorldEntertainment
309;Mount&BladeWarband;March;2010;1.999,00 Ä;2000000;5000000;3500000;TaleWorldsEntertainment;TaleWorldsEntertainment
310;CosmicStarHeroine;April;2017;1.499,00 Ä;100;200;150;ZeboydGames;ZeboydGames
311;DeathSpank;October;2010;1.499,00 Ä;100;200;150;HotheadGames;ElectronicArts
312;SpellForce3FallenGod;November;2020;1.999,00 Ä;100;200;150;GrimloreGames;THQNordic
313;LordsoftheRealmII;October;1996;299,00 Ä;50;100;75;ImpressionsGames;Rebellion
314;ExpeditionsConquistador;May;2013;1.999,00 Ä;100;200;150;LogicArtists;THQNordic
315;ArxFatalis;November;2002;499,00 Ä;200;500;350;ArkaneStudios;ArkaneStudios
316;TheIncredibleAdventuresofVanHelsingII;May;2014;149,00 Ä;200;500;350;NeocoreGames;NeocoreGames
317;Deathtrap;February;2015;199,00 Ä;200;500;350;NeocoreGames;NeocoreGames
318;ShadowsAwakening;August;2018;2.999,00 Ä;100;200;150;GamesFarm;KalypsoMedia
319;TowerofTime;April;2018;2.499,00 Ä;50;100;75;EventHorizon;EventHorizon
320;StarRenegades;September;2020;2.499,00 Ä;200;500;350;MassiveDamageInc;RawFury
321;Eldritch;October;2013;1.499,00 Ä;200;500;350;MinorKeyGames;MinorKeyGames
322;Might&MagicHeroesVI;October;2011;1.999,00 Ä;500;1000000;750;Blackhole;Ubisoft
323;NEOScavenger;December;2014;1.499,00 Ä;500;1000000;750;BlueBottleGames;BlueBottleGames
324;TERAActionMMORPG;January;2017;0,00 Ä;1000000;2000000;1500000;BlueholeInc;Gameforge4DGmbH
325;Reigns;August;2016;299,00 Ä;500;1000000;750;Nerial;DevolverDigital
326;Risen;October;2009;999,00 Ä;500;1000000;750;PiranhaBytes;THQNordic
327;TalesofZestiria;October;2015;4.999,00 Ä;500;1000000;750;BANDAINAMCOStudioInc;BANDAINAMCOEntertainment
328;ChildofLight;April;2014;1.499,00 Ä;500;1000000;750;UbisoftMontral;Ubisoft
329;LISAThePainful;December;2014;999,00 Ä;200;500;350;Dingaling;DingalingProductionsLLC
330;RiskofRain;November;2013;999,00 Ä;1000000;2000000;1500000;HopooGames;Chucklefish
331;FreudsBonesthegame;May;2022;1.399,00 Ä;20;20;20;AxelFoxFortunaImperatore;AxelFoxFortunaImperatore
332;HypergalacticPsychicTableTennis3000;March;2020;199,00 Ä;20;20;20;BlueWizardDigital;BlueWizardDigital
333;EchoesofAetheria;January;2016;1.499,00 Ä;20;20;20;DancingDragonGames;Komodo
334;SignsoftheSojourner;May;2020;1.999,00 Ä;20;20;20;EchodogGames;EchodogGames
335;RebelGalaxyOutlaw;September;2020;2.999,00 Ä;20;50;35;DoubleDamageGames;DoubleDamageGames
336;LovecraftsUntoldStories;January;2019;1.499,00 Ä;50;100;75;LLCBliniGames;FulqrumPublishing
337;ArcadiaFallen;November;2021;2.499,00 Ä;20;20;20;GaldraStudios;GaldraStudios
338;DeathtrapDungeonTheInteractiveVideoAdventure;April;2020;799,00 Ä;20;20;20;BranchingNarrativeLtd;BranchingNarrativeLtd
339;DinsCurse;March;2010;999,00 Ä;20;50;35;SoldakEntertainment;SoldakEntertainment
340;StirringAbyss;October;2020;2.499,00 Ä;20;20;20;SleepySentryKProject;SlitherineLtd
341;Aggelos;June;2018;1.499,00 Ä;20;50;35;StorybirdGames;PQubeLookAtMyGame
342;OperenciaTheStolenSun;March;2020;2.999,00 Ä;20;50;35;ZenStudios;ZenStudios
343;BEAUTIFULDESOLATION;February;2020;1.999,00 Ä;50;100;75;THEBROTHERHOOD;THEBROTHERHOOD
344;FeudalAlloy;January;2019;169,00 Ä;20;50;35;AttuGames;AttuGames
345;STORYOFSEASONSPioneersofOliveTown;September;2021;2.999,00 Ä;20;50;35;MarvelousInc;XSEEDGamesMarvelousUSAIncMarvelous
346;Demigod;December;2011;999,00 Ä;50;100;75;GasPoweredGames;StardockEntertainment
347;YsVITheArkofNapishtim;April;2015;1.999,00 Ä;100;200;150;NihonFalcom;XSEEDGamesMarvelousUSAInc
348;CastleInTheDarkness;February;2015;999,00 Ä;50;100;75;MattKapNicalisInc;NicalisInc
349;Overture;January;2015;499,00 Ä;200;500;350;BlackShellGames;PlugInDigital
350;CandlemanTheCompleteJourney;January;2018;1.499,00 Ä;20;50;35;CandlemanGames;CandlemanGames
351;AvernumEscapeFromthePit;April;2012;999,00 Ä;100;200;150;SpiderwebSoftware;SpiderwebSoftware
352;FightTheDragon;December;2014;999,00 Ä;100;200;150;3Sprockets;3Sprockets
353;DriftlandTheMagicRevival;April;2019;1.999,00 Ä;100;200;150;StarDrifters;StarDrifters
354;AegisDefenders;February;2018;1.999,00 Ä;200;500;350;GUTSDepartment;HumbleGames
355;EldestSouls;July;2021;1.999,00 Ä;50;100;75;FallenFlagStudio;UnitedLabelCIGames
356;WeirdWest;March;2022;3.999,00 Ä;100;200;150;WolfEyeStudios;DevolverDigital
357;NeoCab;October;2019;299,00 Ä;200;500;350;ChanceAgency;FellowTraveller
358;MercenaryKingsReloadedEdition;March;2014;1.999,00 Ä;200;500;350;TributeGamesInc;TributeGamesInc
359;Might&MagicClashofHeroes;September;2011;999,00 Ä;200;500;350;CapybaraGames;Ubisoft
360;Sable;September;2021;999,00 Ä;100;200;150;Shedworks;RawFury
361;CuriousExpedition2;January;2021;999,00 Ä;200;500;350;MaschinenMensch;ThunderfulPublishing
362;PathologicClassicHD;October;2015;1.299,00 Ä;100;200;150;IcePickLodgeGeneralArcade;GoodShepherdEntertainment
363;YsOrigin;May;2012;1.999,00 Ä;200;500;350;NihonFalcom;XSEEDGames
364;CatQuestII;September;2019;449,00 Ä;100;200;150;TheGentlebros;PQube
365;DigorDie;July;2018;1.199,00 Ä;200;500;350;GaddyGames;GaddyGames
366;TheSurge2;September;2019;2.999,00 Ä;500;1000000;750;Deck13;FocusEntertainment
367;Vindictus;June;2012;0,00 Ä;1000000;2000000;1500000;devCAT;NEXONKoreaCorp&NEXONAmericaInc
368;TheShipMurderParty;July;2006;999,00 Ä;1000000;2000000;1500000;OuterlightLtd;BlazingGriffin
369;SecretWorldLegends;July;2017;0,00 Ä;1000000;2000000;1500000;Funcom;Funcom
370;WAKFU;September;2014;0,00 Ä;1000000;2000000;1500000;AnkamaStudio;AnkamaGames
371;ShadowrunReturns;July;2013;999,00 Ä;1000000;2000000;1500000;HarebrainedSchemes;ParadoxInteractive
372;KingdomComeDeliverance;February;2018;2.999,00 Ä;2000000;5000000;3500000;WarhorseStudios;WarhorseStudiosPrimeMatter
373;Vaporum;September;2017;1.999,00 Ä;50;100;75;FatbotGamessro;FatbotGamessro
374;DreamfallTheLongestJourney;April;2006;1.999,00 Ä;200;500;350;Funcom;Funcom
375;OmensightDefinitiveEdition;May;2018;999,00 Ä;50;100;75;SpearheadGames;SpearheadGames
376;HalfMinuteHeroSuperMegaNeoClimaxUltimateBoy;September;2012;999,00 Ä;200;500;350;Opus;Marvelous
377;BladeofDarkness;October;2021;1.499,00 Ä;50;100;75;RebelActStudiosFireFalcomGeneralArcade;SNEG
378;Rebuild3GangsofDeadsville;May;2015;599,00 Ä;200;500;350;NorthwayGamesSarahNorthway;NorthwayGames
379;CaptainTsubasaRiseofNewChampions;September;2020;5.999,00 Ä;100;200;150;TAMSOFTCORPORATION;BANDAINAMCOEntertainment
380;VigilTheLongestNight;October;2020;2.199,00 Ä;100;200;150;GlassHeartGames;NeonDoctrine
381;Ziggurat;October;2014;1.499,00 Ä;200;500;350;MilkstoneStudios;MilkstoneStudios
382;ChromaSquad;April;2015;1.499,00 Ä;100;200;150;BeholdStudios;BeholdStudios
383;BlackBook;August;2021;2.499,00 Ä;100;200;150;Morteshka;HypeTrainDigital
384;GhostofaTale;March;2018;2.499,00 Ä;200;500;350;SeithCG;SeithCG
385;TwoWorldsIIHD;February;2011;1.999,00 Ä;500;1000000;750;RealityPumpStudios;TopwareInteractiveACE
386;VictorVranARPG;July;2015;499,00 Ä;500;1000000;750;HaemimontGames;HaemimontGamesEuroVideoMedien
387;AtelierRyzaEverDarkness&theSecretHideout;October;2019;2.999,00 Ä;200;500;350;KOEITECMOGAMESCOLTD;KOEITECMOGAMESCOLTD
388;Chernobylite;July;2021;2.999,00 Ä;500;1000000;750;TheFarm51;TheFarm51
389;Tropico5;May;2014;1.999,00 Ä;500;1000000;750;HaemimontGames;KalypsoMediaDigital
390;Armello;September;2015;1.999,00 Ä;1000000;2000000;1500000;LeagueofGeeks;LeagueofGeeks
391;STALKERClearSky;September;2008;999,00 Ä;1000000;2000000;1500000;GSCGameWorld;GSCWorldPublishing
392;BorderlandsThePreSequel;October;2014;3.999,00 Ä;2000000;5000000;3500000;2KAustraliaGearboxSoftwareAspyrLinux;2KAspyrLinux
393;Kenshi;December;2018;2.999,00 Ä;1000000;2000000;1500000;LoFiGames;LoFiGames
394;RavenmarkScourgeofEstellion;September;2015;1.499,00 Ä;20;20;20;WitchingHourStudios;SlitherineLtd
395;SerpentintheStaglands;May;2015;1.399,00 Ä;50;100;75;WhalenoughtStudios;WhalenoughtStudios
396;AmbitionAMinuetinPower;August;2021;1.999,00 Ä;20;20;20;JoyManufacturingCo;IcebergInteractive
397;JackMove;September;2022;1.999,00 Ä;20;50;35;SoRomantic;HypeTrainDigital
398;EschalonBookI;November;2007;0,00 Ä;50;100;75;BasiliskGames;BasiliskGames
399;WorldtotheWest;May;2017;1.499,00 Ä;20;50;35;RainGames;RainGames
400;SuperCaneMagicZEROLegendoftheCaneCane;May;2019;1.999,00 Ä;20;20;20;StudioEvil;StudioEvilIntragamesCoLtd
401;AvadonTheBlackFortress;August;2011;499,00 Ä;200;500;350;SpiderwebSoftware;SpiderwebSoftware
402;Drakensang;February;2009;999,00 Ä;100;200;150;RadonLabs;DTPEntertainment
403;Arboria;September;2021;1.999,00 Ä;20;20;20;Dreamplant;Allin!Games
404;Shardlight;March;2016;1.499,00 Ä;50;100;75;WadjetEyeGames;WadjetEyeGames
405;PatricianIII;November;2010;499,00 Ä;100;200;150;AscaronEntertainmentltd;KalypsoMediaDigital
406;Ironcast;March;2015;1.499,00 Ä;50;100;75;Dreadbit;Ripstone
407;RingRunnerFlightoftheSages;July;2013;499,00 Ä;100;200;150;TripleBTitles;TripleBTitles
408;TheRealTexas;July;2016;1.499,00 Ä;20;20;20;KittyLambdaGamesInc;KittyLambdaGamesInc
409;Pendragon;September;2020;1.699,00 Ä;20;20;20;inkleLtd;inkleLtd
410;CrisTales;July;2021;3.999,00 Ä;20;50;35;DreamsUncorporatedSYCK;ModusGames
411;ShadowsHereticKingdoms;November;2014;989,00 Ä;20;50;35;GamesFarm;KalypsoMediaDigital
412;DroxOperative;November;2012;1.999,00 Ä;20;50;35;SoldakEntertainment;SoldakEntertainment
413;AirBuccaneers;January;1986;0,00 Ä;100;200;150;LudoCraftLtd;LudoCraftLtd
414;WindsofChange;August;2019;1.999,00 Ä;20;50;35;Klace;Klace
415;VampireTheMasqueradeRedemption;June;2000;599,00 Ä;100;200;150;NihilisticSoftware;Activision
416;Warhammer40000DeathwatchEnhancedEdition;October;2015;1.499,00 Ä;100;200;150;RodeoGames;RodeoGames
417;YsMemoriesofCelceta;July;2018;2.499,00 Ä;20;50;35;NihonFalcom;XSEEDGamesMarvelousUSAInc
418;OurDarkerPurpose;January;2014;1.499,00 Ä;50;100;75;AvidlyWildGames;AvidlyWildGames
419;Nantucket;January;2018;1.799,00 Ä;100;200;150;PicaresqueStudio;FishEagle
420;Blackguards2;January;2015;999,00 Ä;50;100;75;DaedalicEntertainment;DaedalicEntertainment
421;WheretheWaterTastesLikeWine;February;2018;1.999,00 Ä;50;100;75;DimBulbGamesSerenityForge;GoodShepherdEntertainment
422;NeonChrome;April;2016;1.499,00 Ä;200;500;350;10tonsLtd;10tonsLtd
423;DeadInVinland;April;2018;1.999,00 Ä;100;200;150;IshtarGames;DearVillagers
424;KingsBountyWarriorsoftheNorth;October;2012;999,00 Ä;200;500;350;FulqrumPublishing;FulqrumPublishing
425;TheSwordsofDittoMormosCurse;April;2018;494,00 Ä;100;200;150;onebitbeyond;DevolverDigital
426;OceanhornMonsterofUnchartedSeas;March;2015;1.499,00 Ä;200;500;350;Cornfox&BrothersLtd;Cornfox&BrothersLtd
427;SpellForcePlatinumEdition;November;2009;999,00 Ä;200;500;350;Phenomic;THQNordic
428;TheRedSolstice;July;2015;999,00 Ä;1000000;2000000;1500000;Ironward;Ironward
429;EadorMastersoftheBrokenWorld;April;2013;1.999,00 Ä;1000000;2000000;1500000;SnowbirdGames;SnowbirdGames
430;Bladedfury;December;2018;999,00 Ä;100;200;150;NEXTStudios;NEXTStudios
431;SpacePiratesandZombies;August;2011;999,00 Ä;500;1000000;750;MinMaxGamesLtd;MinMaxGamesLtd
432;DungeonDefendersAwakened;May;2020;2.999,00 Ä;100;200;150;ChromaticGames;ChromaticGames
433;SacredGold;August;2006;999,00 Ä;200;500;350;StudioII;THQNordic
434;ExpeditionsViking;April;2017;2.999,00 Ä;200;500;350;LogicArtists;THQNordic
435;PhoenixPoint;December;2020;2.499,00 Ä;200;500;350;SnapshotGamesInc;SnapshotGamesInc
436;CuriousExpedition;September;2016;299,00 Ä;500;1000000;750;MaschinenMensch;MaschinenMensch
437;DisgaeaPC;February;2016;1.999,00 Ä;200;500;350;NipponIchiSoftwareInc;NISAmericaInc
438;MordheimCityoftheDamned;November;2015;199,00 Ä;500;1000000;750;RogueFactor;Nacon
439;StoriesThePathofDestinies;April;2016;374,00 Ä;2000000;5000000;3500000;SpearheadGames;SpearheadGames
440;Magicka;January;2011;999,00 Ä;2000000;5000000;3500000;ArrowheadGameStudios;ParadoxInteractive
441;Neverwinter;December;2013;0,00 Ä;2000000;5000000;3500000;CrypticStudios;GearboxPublishing
442;TheElderScrollsVSkyrimSpecialEdition;October;2016;3.999,00 Ä;5000000;10000000;7500000;BethesdaGameStudios;BethesdaSoftworks
443;NowhereProphet;July;2019;2.499,00 Ä;50;100;75;SharkbombStudios;NoMoreRobots
444;PopupDungeon;August;2020;2.499,00 Ä;20;50;35;TripleBTitles;HumbleGames
445;SherlockHolmesversusJacktheRipper;December;2009;999,00 Ä;100;200;150;Frogwares;Frogwares
446;TeslavsLovecraft;January;2018;1.499,00 Ä;100;200;150;10tonsLtd;10tonsLtd
447;KingsBountyDarkSide;August;2014;1.299,00 Ä;200;500;350;FulqrumPublishing;FulqrumPublishing
448;YsTheOathinFelghana;March;2012;1.499,00 Ä;100;200;150;NihonFalcom;XSEEDGames
449;Minoria;August;2019;1.999,00 Ä;50;100;75;Bombservice;DANGENEntertainment
450;WWIIOnline;June;2001;0,00 Ä;500;1000000;750;CorneredRatSoftware;PlaynetInc
451;AtelierSophieTheAlchemistoftheMysteriousBook;February;2017;2.999,00 Ä;50;100;75;KOEITECMOGAMESCOLTD;KOEITECMOGAMESCOLTD
452;AlwaysSometimesMonsters;May;2014;999,00 Ä;200;500;350;VagabondDog;VagabondDog
453;Timespinner;September;2018;1.999,00 Ä;100;200;150;LunarRayGames;Chucklefish
454;Coromon;March;2022;1.399,00 Ä;100;200;150;TRAGsoft;FreedomGames
455;Killsquad;July;2019;2.999,00 Ä;200;500;350;Novarama;Novarama
456;StarpointGeminiWarlords;May;2017;3.499,00 Ä;200;500;350;LittleGreenMenGames;LittleGreenMenGames
457;PhantomDoctrine;August;2018;399,00 Ä;200;500;350;CreativeForgeGames;GoodShepherdEntertainment
458;TheaTheAwakening;November;2015;1.999,00 Ä;200;500;350;MuHaGames;MuHaGames
459;Haven;December;2020;1.499,00 Ä;100;200;150;TheGameBakers;TheGameBakers
460;HardWest;November;2015;1.999,00 Ä;200;500;350;CreativeForgeGames;GoodShepherdEntertainment
461;PunchClub;January;2016;999,00 Ä;500;1000000;750;LazyBearGames;tinyBuild
462;Cloudpunk;April;2020;1.999,00 Ä;500;1000000;750;IONLANDS;IONLANDSMapleWhisperingLimited
463;LordsOfTheFallen2014;October;2014;2.999,00 Ä;500;1000000;750;CIGamesDeck13;CIGames
464;PathfinderKingmakerEnhancedPlusEdition;September;2018;1.999,00 Ä;1000000;2000000;1500000;OwlcatGames;PrimeMatter
465;MedievalDynasty;September;2021;3.499,00 Ä;500;1000000;750;RenderCube;ToplitzProductions
466;DRAGONBALLZKAKAROT;January;2020;5.999,00 Ä;500;1000000;750;CyberConnect2CoLtd;BANDAINAMCOEntertainment
467;MyTimeAtPortia;January;2019;2.999,00 Ä;1000000;2000000;1500000;PatheaGames;Team17
468;BlackDesert;May;2017;99,00 Ä;5000000;10000000;7500000;PearlAbyss;PearlAbyss
469;PierSolarandtheGreatArchitects;September;2014;1.499,00 Ä;50;100;75;WaterMelon;WaterMelon
470;Driftmoon;January;2014;1.499,00 Ä;50;100;75;VilleMnkknenAnneMnkknen;InstantKingdom
471;BeyondDivinity;April;2004;599,00 Ä;200;500;350;LarianStudios;LarianStudios
472;ChildrenofZodiarcs;July;2017;1.799,00 Ä;20;50;35;CardboardUtopia;SquareEnix
473;RegaliaOfMenandMonarchs;May;2017;459,00 Ä;50;100;75;PixelatedMilk;PixelatedMilk
474;PaperSorcerer;November;2013;499,00 Ä;50;100;75;UltraRunawayGames;UltraRunawayGames
475;Halcyon6StarbaseCommanderLIGHTSPEEDEDITION;August;2017;1.499,00 Ä;20;50;35;MassiveDamageInc;MassiveDamageInc
476;DungeonsTheDarkLord;September;2011;999,00 Ä;100;200;150;RealmforgeStudios;KalypsoMediaDigital
477;LeftHandPath;November;2017;2.999,00 Ä;20;20;20;StrangeCompany;StrangeCompany
478;TheMagesTale;March;2018;2.999,00 Ä;20;20;20;inXileEntertainment;inXileEntertainment
479;PuzzleQuestGalactrix;February;2009;999,00 Ä;20;50;35;InfiniteInteractive;D3PublisherofAmericaInc
480;AnarchyOnline;June;2001;0,00 Ä;100;200;150;Funcom;Funcom
481;AllWallsMustFallATechNoirTacticsGame;February;2018;999,00 Ä;20;50;35;inbetweengames;inbetweengames
482;PurrfectDateVisualNovelDatingSimulator;December;2017;999,00 Ä;20;50;35;BaeTeam;BossaStudios
483;SpaceHulkAscension;November;2014;1.394,00 Ä;50;100;75;FullControlStudios;FullControl
484;Gamedec;September;2021;2.999,00 Ä;100;200;150;AnsharStudios;AnsharPublishing
485;Convoy;April;2015;1.499,00 Ä;200;500;350;ConvoyGames;IndietopiaGames
